tag,beta,N,T,epsilon,mu,seed,variance,engagement,update_rate,bimodality,n_clusters
N_sweep,0,100,4000,0.15,0.3,14,0.07840665750709461,0.7477662958961723,0.32175,0.23227833828079,3
N_sweep,0,100,4000,0.15,0.3,15,0.04782592088567132,0.7854458622714358,0.366,0.23625520022848973,8
N_sweep,0,100,4000,0.15,0.3,16,0.07769284347755993,0.7514129704644658,0.26125,0.20670850310272412,4
N_sweep,0,100,4000,0.15,0.3,17,0.0649384169958611,0.7647360334215713,0.3325,0.2290304098464749,3
N_sweep,0,100,4000,0.15,0.3,18,0.07692977904838467,0.7466321997270715,0.28575,0.21748237798469514,4
N_sweep,0,100,4000,0.15,0.3,19,0.06466570351009054,0.7715522838197173,0.34425,0.21183310140006179,3
N_sweep,0,100,4000,0.15,0.3,20,0.061636248926650844,0.7650114206501815,0.31625,0.22712248822025075,3
N_sweep,0,100,4000,0.15,0.3,21,0.06328904577737963,0.7709193786284668,0.322,0.218386130677671,4
N_sweep,0,100,4000,0.15,0.3,22,0.07249948910873939,0.7579202702305783,0.33475,0.21522120267914618,3
N_sweep,0,100,4000,0.15,0.3,23,0.057474480522724705,0.779999425095042,0.349,0.23349857199057003,3
N_sweep,0,100,4000,0.15,0.3,24,0.061987345486471786,0.7643332771945667,0.30375,0.22719079497622977,3
N_sweep,0,100,4000,0.15,0.3,25,0.08550560909222678,0.7466063000326332,0.33125,0.22871873365179052,3
N_sweep,0,100,4000,0.15,0.3,26,0.05334598503768526,0.7777937565337881,0.315,0.28092457745453836,3
N_sweep,0,100,4000,0.15,0.3,27,0.07466061349350495,0.7437085162473823,0.2545,0.21879943465171378,4
N_sweep,0,100,4000,0.15,0.3,28,0.08596071365517624,0.7405990705819581,0.31075,0.21646353189325807,3
N_sweep,0,100,4000,0.15,0.3,29,0.07143692400074186,0.7593862542864946,0.32125,0.2100003736046913,5
N_sweep,0,200,4000,0.15,0.3,0,0.06846961900186896,0.7484409530254904,0.29375,0.2042938787073504,18
N_sweep,0,200,4000,0.15,0.3,1,0.06565330712831026,0.7600471034456205,0.30725,0.21985731620801385,17
N_sweep,0,200,4000,0.15,0.3,2,0.07989384043556852,0.7360275002037147,0.28525,0.2260695474912245,14
N_sweep,0,200,4000,0.15,0.3,3,0.06003811421477689,0.7623471121772926,0.3195,0.2282436313214771,18
N_sweep,0,200,4000,0.15,0.3,4,0.06295818709663013,0.7557603397917173,0.2885,0.21040639378038362,14
N_sweep,0,200,4000,0.15,0.3,5,0.06394005556492678,0.747589360364265,0.29125,0.21472177112358687,19
N_sweep,0,200,4000,0.15,0.3,6,0.06902883318998622,0.7492062554145819,0.29925,0.21997513075440983,14
N_sweep,0,200,4000,0.15,0.3,7,0.06816955814277471,0.7523655385953045,0.309,0.208689848212177,16
N_sweep,0,200,4000,0.15,0.3,8,0.06603635954628173,0.7516940549626036,0.29425,0.21393413821915433,21
N_sweep,0,200,4000,0.15,0.3,9,0.05489029174114366,0.7643332408823894,0.32725,0.2338153770880656,16
N_sweep,0,200,4000,0.15,0.3,10,0.07102989357436225,0.7459216474981476,0.3055,0.2287273244479576,14
N_sweep,0,200,4000,0.15,0.3,11,0.07041527941562922,0.7561924034569607,0.33225,0.24597274529478932,9
N_sweep,0,200,4000,0.15,0.3,12,0.059960280875896645,0.7644616439315083,0.3115,0.21394604084818913,10
N_sweep,0,200,4000,0.15,0.3,13,0.0679865360432617,0.7528233717975901,0.3065,0.21647836908793094,15
N_sweep,0,200,4000,0.15,0.3,14,0.07419198577987438,0.7437548496376715,0.30325,0.2254538262808481,12
N_sweep,0,200,4000,0.15,0.3,15,0.07283299695350073,0.7426913764644608,0.284,0.21528818336600172,17
N_sweep,0,200,4000,0.15,0.3,16,0.07850216640015063,0.7344235540643663,0.303,0.23075989656581986,17
N_sweep,0,200,4000,0.15,0.3,17,0.07749661531586463,0.7426580655999261,0.3035,0.22046531367758213,12
N_sweep,0,200,4000,0.15,0.3,18,0.07830764311747422,0.7385651515917427,0.297,0.22050627827797287,16
N_sweep,0,200,4000,0.15,0.3,19,0.06801376811049434,0.7580638751173305,0.3305,0.2115770466936967,7
N_sweep,0,200,4000,0.15,0.3,20,0.07759165503308804,0.7494889184297168,0.32525,0.2243806203754611,10
N_sweep,0,200,4000,0.15,0.3,21,0.07875737903613952,0.7338569981967324,0.27575,0.21888575053179363,15
N_sweep,0,200,4000,0.15,0.3,22,0.06458088768016826,0.7511970613734831,0.32375,0.24126657661167247,13
N_sweep,0,200,4000,0.15,0.3,23,0.06865070553036258,0.7549738027753891,0.32625,0.23310684203519869,13
N_sweep,0,200,4000,0.15,0.3,24,0.06500242704139052,0.7545223367534861,0.316,0.21996116738490953,10
N_sweep,0,200,4000,0.15,0.3,25,0.06631952088070646,0.7536513318033513,0.30175,0.2172214429324927,17
N_sweep,0,200,4000,0.15,0.3,26,0.06230434606210952,0.7576998004032968,0.31775,0.21793592538392376,16
N_sweep,0,200,4000,0.15,0.3,27,0.07451133252649005,0.7458734423301839,0.31275,0.2315616235786144,17
N_sweep,0,200,4000,0.15,0.3,28,0.0789608997185143,0.7396670027687733,0.3095,0.22431100477085117,10
N_sweep,0,200,4000,0.15,0.3,29,0.06945978274138603,0.7542251183018676,0.325,0.25540128555003805,16
N_sweep,0,400,4000,0.15,0.3,0,0.0754418381741281,0.7403506101740048,0.286,0.2092688468948752,49
N_sweep,0,400,4000,0.15,0.3,1,0.07033257573235849,0.7489779404863494,0.302,0.21746318675772136,57
N_sweep,0,400,4000,0.15,0.3,2,0.07722325186694746,0.7411222750184546,0.29425,0.21773389423340683,43
N_sweep,0,400,4000,0.15,0.3,3,0.07063504522634671,0.7440495244118596,0.279,0.2113886828631015,56
