tag,beta,epsilon,N,T,mu,seed,variance,engagement,update_rate,bimodality,n_clusters
eps_sweep,0,0.5,100,4000,0.3,12,1.2505006446504624e-15,0.9730878996198388,0.98675,0.3233003435023977,1
eps_sweep,0,0.5,100,4000,0.3,13,1.0242391148644285e-15,0.973383655004643,0.987,0.3233003435023977,1
eps_sweep,0,0.5,100,4000,0.3,14,1.2495791439845746e-16,0.9773731904699714,0.99225,0.3233003435023977,1
eps_sweep,0,0.5,100,4000,0.3,15,2.1280431206023464e-16,0.9728275786342881,0.98575,0.3233003435023977,1
eps_sweep,0,0.5,100,4000,0.3,16,1.4719612219261812e-16,0.9783951719875589,0.99225,0.3233003435023977,1
eps_sweep,0,0.5,100,4000,0.3,17,8.746459666737722e-16,0.9740453219775979,0.98775,0.3233003435023977,1
eps_sweep,0,0.5,100,4000,0.3,18,3.0360761116664916e-16,0.9789843021577141,0.99425,0.3233003435023977,1
eps_sweep,0,0.5,100,4000,0.3,19,5.635915697796529e-17,0.9770009827443646,0.99125,0.3233003435023977,1
eps_sweep,0,0.5,100,4000,0.3,20,1.2336589793808258e-16,0.9762130803232841,0.991,0.3233003435023977,1
eps_sweep,0,0.5,100,4000,0.3,21,8.075983015894387e-17,0.9761174597124069,0.99025,0.3233003435023977,1
eps_sweep,0,0.5,100,4000,0.3,22,1.7418101596972432e-16,0.97891569373669,0.9935,0.3233003435023977,1
eps_sweep,0,0.5,100,4000,0.3,23,6.328117168920688e-17,0.9778726629069222,0.9925,0.3233003435023977,1
eps_sweep,0,0.5,100,4000,0.3,24,3.4378872341161085e-17,0.9788876916597712,0.9945,0.3233003435023977,1
eps_sweep,0,0.5,100,4000,0.3,25,8.358468049025621e-17,0.97372499645627,0.988,0.3233003435023977,1
eps_sweep,0,0.5,100,4000,0.3,26,0.0029557280150451586,0.9673614775337721,0.97,0.969406612015813,2
eps_sweep,0,0.5,100,4000,0.3,27,3.3611298630966634e-16,0.9746391924433784,0.99,0.3233003435023977,1
eps_sweep,0,0.5,100,4000,0.3,28,1.7772384470681743e-16,0.977199676353247,0.99175,0.3233003435023977,1
eps_sweep,0,0.5,100,4000,0.3,29,0.0029595996855328382,0.9647844190529795,0.9685,0.9694066117580905,2
eps_sweep,5,0.05,100,4000,0.3,0,0.08052328059320057,0.8702531159866439,0.2785,0.20776950004986522,12
eps_sweep,5,0.05,100,4000,0.3,1,0.08054703586495532,0.8747348024804139,0.29075,0.21692473268031418,10
eps_sweep,5,0.05,100,4000,0.3,2,0.07963890976583565,0.8769503274987344,0.3165,0.2204779097127353,11
eps_sweep,5,0.05,100,4000,0.3,3,0.0723575175924243,0.8738527352272438,0.2895,0.21451098333494895,11
eps_sweep,5,0.05,100,4000,0.3,4,0.08683590162729357,0.8739349554056557,0.31975,0.23345547717684242,10
eps_sweep,5,0.05,100,4000,0.3,5,0.07829117801932478,0.8740544129676036,0.2875,0.21263680082368605,11
eps_sweep,5,0.05,100,4000,0.3,6,0.07646350649085053,0.873907844605541,0.344,0.2018074956944365,8
eps_sweep,5,0.05,100,4000,0.3,7,0.09331698361604643,0.8771187926622558,0.36675,0.21330612345910538,9
eps_sweep,5,0.05,100,4000,0.3,8,0.07316075320592268,0.8710726985392865,0.30375,0.20110317886034298,11
eps_sweep,5,0.05,100,4000,0.3,9,0.08577832284152388,0.8818874862578991,0.367,0.21430258565059984,10
eps_sweep,5,0.05,100,4000,0.3,10,0.08286936213932612,0.8722325465570026,0.3335,0.20254859093675195,10
eps_sweep,5,0.05,100,4000,0.3,11,0.08966379909742744,0.8732632155824094,0.2985,0.21099137644496962,10
eps_sweep,5,0.05,100,4000,0.3,12,0.07963636833412452,0.8732455499220427,0.29675,0.20627937933952667,11
eps_sweep,5,0.05,100,4000,0.3,13,0.06794575086587834,0.8752374115429709,0.354,0.18939955083935928,10
eps_sweep,5,0.05,100,4000,0.3,14,0.09029737233186651,0.8749438606379689,0.34525,0.2127041291430828,11
eps_sweep,5,0.05,100,4000,0.3,15,0.08903794628400004,0.8752535614133073,0.329,0.21257773081323603,10
eps_sweep,5,0.05,100,4000,0.3,16,0.08082045338707484,0.874226291193558,0.293,0.20642943378433143,11
eps_sweep,5,0.05,100,4000,0.3,17,0.08638958604381029,0.8749247540377847,0.321,0.20888918745002027,12
eps_sweep,5,0.05,100,4000,0.3,18,0.06229635246801988,0.8705512398708428,0.25425,0.19631115863340026,11
eps_sweep,5,0.05,100,4000,0.3,19,0.0882254752295227,0.8797104083455041,0.33725,0.23028161414776824,10
eps_sweep,5,0.05,100,4000,0.3,20,0.08255546065809737,0.8767752583012355,0.334,0.20645135218638885,11
eps_sweep,5,0.05,100,4000,0.3,21,0.09014778524375808,0.8804816111054296,0.37775,0.20466004176961328,9
eps_sweep,5,0.05,100,4000,0.3,22,0.0916255445907887,0.8793746469107443,0.37225,0.20852205451520375,10
eps_sweep,5,0.05,100,4000,0.3,23,0.07334410590125154,0.87413527286171,0.323,0.21054652929460912,9
eps_sweep,5,0.05,100,4000,0.3,24,0.06981785661993474,0.8758413048417879,0.31625,0.19985987582131798,10
eps_sweep,5,0.05,100,4000,0.3,25,0.092587654903894,0.8783401373407944,0.3345,0.2126580766971468,11
eps_sweep,5,0.05,100,4000,0.3,26,0.08323305034976672,0.8748036983235478,0.27025,0.21007019332251137,12
eps_sweep,5,0.05,100,4000,0.3,27,0.0926701954779385,0.873842664384119,0.3235,0.20645895552373408,10
eps_sweep,5,0.05,100,4000,0.3,28,0.08316488299130365,0.8764059592247126,0.315,0.21014224321100622,10
eps_sweep,5,0.05,100,4000,0.3,29,0.08539301177131094,0.872223839325886,0.287,0.20706637403549774,12
eps_sweep,5,0.1,100,4000,0.3,0,0.07412385905058777,0.8936495748522353,0.55125,0.2097332885089949,6
eps_sweep,5,0.1,100,4000,0.3,1,0.08233479377586202,0.8956382787064581,0.53525,0.22792736414066317,6
eps_sweep,5,0.1,100,4000,0.3,2,0.06668734257005068,0.889265379076329,0.50675,0.22603346805912683,5
eps_sweep,5,0.1,100,4000,0.3,3,0.07624459085656869,0.8962865921113713,0.58325,0.20433177039567252,5
eps_sweep,5,0.1,100,4000,0.3,4,0.08029815280233273,0.8875853916632123,0.4885,0.23221085909960806,6
eps_sweep,5,0.1,100,4000,0.3,5,0.08077148997700746,0.8930138346584696,0.5575,0.21450603443685293,7
